device=Apple M5 execution=single shared-memory Metal dispatch plus waitUntilCompleted; setup excluded
payload_bytes vectors vector_bytes cpu_vector_ns cpu_flat_ns gpu_ns ratio_gpu_vector ratio_gpu_flat valid
16 1 16 49 29 395451 7975.22 13366.62 true
256 16 16 420 27 298648 710.01 10943.50 true
4096 256 16 6511 75 299037 45.92 3965.23 true
128 1 128 26 26 299692 11326.26 11326.26 true
2048 16 128 403 46 289249 717.15 6282.56 true
32768 256 128 6303 388 297193 47.14 764.07 true
1024 1 1024 35 36 300938 8546.97 8253.95 true
16384 16 1024 557 213 299555 537.72 1404.15 true
262144 256 1024 9110 4120 297668 32.67 72.25 true
8192 1 8192 127 129 298823 2336.11 2302.37 true
131072 16 8192 3048 1491 324610 106.49 217.62 true
2097152 256 8192 55854 34140 350234 6.27 10.26 true
65536 1 65536 796 813 290833 364.97 357.67 true
1048576 16 65536 16597 16113 327955 19.76 20.35 true
16777216 256 65536 314625 305989 589994 1.88 1.93 true
1048576 1 1048576 17764 17539 315568 17.76 17.99 true
16777216 16 1048576 335750 320125 903578 2.69 2.82 true
4194304 1 4194304 80932 78375 367458 4.54 4.69 true
67108864 16 4194304 1785380 1355177 1908333 1.07 1.41 true
16777216 1 16777216 416572 325739 775281 1.86 2.38 true
