device=Apple M5 execution=single shared-memory Metal dispatch plus waitUntilCompleted; setup excluded
payload_bytes vectors vector_bytes cpu_vector_ns cpu_flat_ns gpu_ns ratio_gpu_vector ratio_gpu_flat valid
16 1 16 48 28 424964 8717.21 15109.84 true
256 16 16 407 27 298796 732.50 11033.83 true
4096 256 16 6648 74 288344 43.37 3865.99 true
128 1 128 27 27 297099 10969.14 10721.73 true
2048 16 128 394 42 298846 757.77 6997.10 true
32768 256 128 6298 383 298673 47.42 778.73 true
1024 1 1024 33 41 300655 8908.31 7288.62 true
16384 16 1024 558 213 287474 514.88 1347.53 true
262144 256 1024 8920 4148 328645 36.84 79.22 true
8192 1 8192 127 128 298454 2333.14 2314.41 true
131072 16 8192 3029 1508 284225 93.83 188.44 true
2097152 256 8192 56270 35614 349953 6.22 9.83 true
65536 1 65536 839 827 299013 356.06 361.44 true
1048576 16 65536 16521 16043 365032 22.09 22.75 true
16777216 256 65536 329098 312036 589177 1.79 1.89 true
1048576 1 1048576 16316 16096 369471 22.64 22.95 true
16777216 16 1048576 317880 302796 591796 1.86 1.95 true
4194304 1 4194304 75031 72260 686213 9.15 9.50 true
67108864 16 4194304 1358885 1297640 1446229 1.06 1.11 true
16777216 1 16777216 335572 338166 662145 1.97 1.96 true
