../src/lowrisc_dv_dv_utils_0/dv_utils_pkg.sv:205: Warning: Calling system function $system() as a task.
../src/lowrisc_dv_dv_utils_0/dv_utils_pkg.sv:205:          The functions return value will be ignored.
 ... Linking
 ... Removing symbol tables
 ... Compiletf functions
TIMETRACE @ 1003045 ps
TIMETRACE @ 2003121 ps
TIMETRACE @ 3003197 ps
TIMETRACE @ 4003273 ps
TIMETRACE @ 5003349 ps
TIMETRACE @ 6003425 ps
TIMETRACE @ 7003501 ps
TIMETRACE @ 8003577 ps
TIMETRACE @ 9003653 ps
TIMETRACE @ 10003729 ps
TIMETRACE @ 11003805 ps
TIMETRACE @ 12003881 ps
TIMETRACE @ 13003957 ps
TIMETRACE @ 14004033 ps
TIMETRACE @ 15004109 ps
TIMETRACE @ 16004185 ps
TIMETRACE @ 17004261 ps
TIMETRACE @ 18004337 ps
TIMETRACE @ 19004413 ps
TIMETRACE @ 20004489 ps
TIMETRACE @ 21004565 ps
TIMETRACE @ 22004641 ps
TIMETRACE @ 23004717 ps
TIMETRACE @ 24004793 ps
TIMETRACE @ 25004869 ps
TIMETRACE @ 26004945 ps
TIMETRACE @ 27005021 ps
TIMETRACE @ 28005097 ps
TIMETRACE @ 29005173 ps
TIMETRACE @ 30005249 ps
TIMETRACE @ 31005325 ps
TIMETRACE @ 32005401 ps
TIMETRACE @ 33005477 ps
TIMETRACE @ 34005553 ps
TIMETRACE @ 35005629 ps
TIMETRACE @ 36005705 ps
TIMETRACE @ 37005781 ps
TIMETRACE @ 38005857 ps
TIMETRACE @ 39005933 ps
TIMETRACE @ 40005996 ps
TIMETRACE @ 41006004 ps
TIMETRACE @ 42006012 ps
TIMETRACE @ 43006020 ps
TIMETRACE @ 44006028 ps
TIMETRACE @ 45006036 ps
TIMETRACE @ 46006044 ps
TIMETRACE @ 47006052 ps
TIMETRACE @ 48006060 ps
TIMETRACE @ 49006068 ps
TIMETRACE @ 50006076 ps
TIMETRACE @ 51006084 ps
TIMETRACE @ 52006092 ps
TIMETRACE @ 53006100 ps
TIMETRACE @ 54006108 ps
TIMETRACE @ 55006116 ps
TIMETRACE @ 56006124 ps
TIMETRACE @ 57006132 ps
TIMETRACE @ 58006140 ps
TIMETRACE @ 59006148 ps
TIMETRACE @ 60006156 ps
TIMETRACE @ 61006164 ps
TIMETRACE @ 62006172 ps
TIMETRACE @ 63006180 ps
TIMETRACE @ 64006188 ps
TIMETRACE @ 65006196 ps
TIMETRACE @ 66006204 ps
TIMETRACE @ 67006212 ps
TIMETRACE @ 68006220 ps
TIMETRACE @ 69006228 ps
TIMETRACE @ 70006236 ps
TIMETRACE @ 71006244 ps
TIMETRACE @ 72006252 ps
TIMETRACE @ 73006260 ps
TIMETRACE @ 74006268 ps
TIMETRACE @ 75006276 ps
TIMETRACE @ 76006284 ps
TIMETRACE @ 77006292 ps
TIMETRACE @ 78006300 ps
TIMETRACE @ 79006308 ps
TIMETRACE @ 80006316 ps
TIMETRACE @ 81006324 ps
TIMETRACE @ 82006332 ps
TIMETRACE @ 83006340 ps
TIMETRACE @ 84006348 ps
TIMETRACE @ 85006356 ps
TIMETRACE @ 86006364 ps
TIMETRACE @ 87006372 ps
TIMETRACE @ 88006380 ps
TIMETRACE @ 89006388 ps
TIMETRACE @ 90006396 ps
TIMETRACE @ 91006404 ps
TIMETRACE @ 92006412 ps
TIMETRACE @ 93006420 ps
TIMETRACE @ 94006428 ps
TIMETRACE @ 95006436 ps
TIMETRACE @ 96006444 ps
TIMETRACE @ 97006452 ps
TIMETRACE @ 98006460 ps
TIMETRACE @ 99006468 ps
TIMETRACE @ 100006476 ps
TIMETRACE @ 101006484 ps
TIMETRACE @ 102006492 ps
TIMETRACE @ 103006500 ps
TIMETRACE @ 104006508 ps
TIMETRACE @ 105006516 ps
TIMETRACE @ 106006524 ps
TIMETRACE @ 107006532 ps
TIMETRACE @ 108006540 ps
TIMETRACE @ 109006548 ps
TIMETRACE @ 110006556 ps
TIMETRACE @ 111006564 ps
TIMETRACE @ 112006572 ps
TIMETRACE @ 113006580 ps
TIMETRACE @ 114006588 ps
TIMETRACE @ 115006596 ps
TIMETRACE @ 116006604 ps
TIMETRACE @ 117006612 ps
TIMETRACE @ 118006620 ps
TIMETRACE @ 119006628 ps
TIMETRACE @ 120006636 ps
TIMETRACE @ 121006644 ps
TIMETRACE @ 122006652 ps
TIMETRACE @ 123006660 ps
TIMETRACE @ 124006668 ps
TIMETRACE @ 125006676 ps
TIMETRACE @ 126006684 ps
TIMETRACE @ 127006692 ps
TIMETRACE @ 128006700 ps
TIMETRACE @ 129006708 ps
TIMETRACE @ 130006716 ps
TIMETRACE @ 131006724 ps
TIMETRACE @ 132006732 ps
TIMETRACE @ 133006740 ps
TIMETRACE @ 134006748 ps
TIMETRACE @ 135006756 ps
TIMETRACE @ 136006764 ps
TIMETRACE @ 137006772 ps
TIMETRACE @ 138006780 ps
TIMETRACE @ 139006788 ps
TIMETRACE @ 140006796 ps
TIMETRACE @ 141006804 ps
TIMETRACE @ 142006812 ps
TIMETRACE @ 143006820 ps
TIMETRACE @ 144006828 ps
TIMETRACE @ 145006836 ps
TIMETRACE @ 146006844 ps
TIMETRACE @ 147006852 ps
TIMETRACE @ 148006860 ps
TIMETRACE @ 149006868 ps
TIMETRACE @ 150006876 ps
TIMETRACE @ 151006884 ps
TIMETRACE @ 152006892 ps
TIMETRACE @ 153006900 ps
TIMETRACE @ 154006908 ps
